Norm,Environment,Context,Label
همخوانی مداحان و نوحه خوانی,مراسم روضه خوانی,شیعیان در حال شرکت در مراسم روضه خوانی,Expected
افطار کردن گروهی,مراسم افطار,مسلمانان در حال افطار کردن گروهی در ماه رمضان,Normal
مهربانی با حیوانات,خانه,اعضای خانواده به حیوانات خانگی محبت می کنند,Normal
برگزاری کنسرت موسیقی رپ,کنسرت موسیقی,یک گروه موسیقی در حال برگزاری یه کنسرت موسیقی رپ,Taboo
شعار نامناسب در ورزشگاه,ورزشگاه,گروهی از هواداران در حال استفاده از شعارهای نامناسب,Normal
گردش در پارک‌ها و بوستان‌ها در روز عید,پارک,خانواده‌ای که در روز عید به پارک می‌روند,Normal
مصرف غذاهای حلال,رستوران,مشتریان در حال سفارش غذای حلال در رستوران,Expected
همراه داشتن حیوان خانگی,خانه,یک خانواده در حال نگهداری از حیوان خانگی در منزل,Expected
انتقاد آزادانه به سیاستها و اقدامات حکومت,رسانه,یک روزنامه نگار در حال انتقاد آزاد از سیاست های حکومتی,Taboo
مصرف نوشیدنی های الکلی در مکان عمومی,رستوران,گروهی از جوانان در حال صرف غذا,Taboo
جلوگیری از ورود زنان و دختران به ورزشگاه,ورزشگاه,محدودیت ورود بانوان به استادیوم‌های ورزشی,Expected
پرداخت پول برای خدمات دریافتی,مرکز خرید,مشتری پس از خرید از فروشنده,Normal
مصرف غذا,رستوران,مشتریان در حال صرف غذا در رستوران,Expected
انجام کارهای شخصی,محل کار,یک کارمند در حال رسیدگی به امور شخصی در ساعات کاری,Normal
ارزش قائل شدن برای معلم و استاد,مدرسه,برای دانش آموزان و معلمان در محیط آموزشی,Expected
لباس پوشیدن متناسب با فضای اداری,بانک,مراجعه به بانک برای امور مالی,Expected
پذیرایی مهمان‌نوازانه از میهمانان,مهمانی خانوادگی,میزبان در حال پیشکش کردن غذا و نوشیدنی به مهمانان,Expected
آزار و اذیت دانش آموزان در مدرسه,مدرسه,یک دانش آموز در حال آزار و اذیت دیگر دانش آموزان در محیط مدرسه,Taboo
پرهیز از تجمع و سر و صدا در اماکن عمومی,بیمارستان,عده ای در حال ایجاد ازدحام و سروصدا در راهروی بیمارستان,Taboo
مقابله با فساد اداری و رشوه‌خواری,مراکز اداری,کارمندان در حال پرهیز از فساد اداری و رعایت قوانین شفاف,Expected
مطالعه قرآن و ادعیه مخصوص ماه رمضان,خانه,یک فرد در حال قرائت قرآن و دعاهای ویژه ماه رمضان در منزل,Expected
پرهیز از سروصدا و مزاحمت برای همسایگان,آپارتمان,ساکنین آپارتمان,Expected
رفتار محترمانه با معلمان و اساتید,دانشگاه,دانشجویان در حضور اساتید,Expected
تبریک گفتن به دیگران در شب یلدا,شب یلدا,جمعی از دوستان در حال برگزاری مهمانی یلدا,Expected
رعایت حقوق معنوی آثار ادبی و هنری,موزه,بازدیدکنندگان در حال پرهیز از کپی برداری غیرمجاز از آثار هنری,Expected
تعارف برای پذیرایی از همراهان,حمل و نقل عمومی,سوار شدن به اتوبوس یا مترو,Normal
شتم زدن و آزار دیگران در اماکن عمومی,پارک,فردی در حال آزار و ضرب و شتم دیگران در پارک,Taboo
قالی شویان,مشهد اردهال,آیین سنتی شستشوی فرش در رودخانه ها,Expected
رعایت نظافت و پاکیزگی در اماکن عمومی,مترو/اتوبوس,در هنگام استفاده از وسایل حمل و نقل عمومی,Expected
برپایی آتش برای کباب‌پزی و آشپزی,کویر,یک گروه از دوستان برای سفر در کویر,Normal
تعارف مکرر غذا به مهمان,مهمانی خانوادگی,میزبان چندین بار از مهمان درخواست خوردن غذا بیشتر می کند,Expected
پرهیز از نگاه‌های طولانی به افراد غیرهمجنس,دانشگاه,برای دانشجویان دختر و پسر در محیط دانشگاه,Expected
اهمیت به کار و تلاش,محل کار,کارگران با جدیت و پشتکار کار می کنند,Expected
انجام بازی‌های سنتی در پارک‌ها,پارک,گروه‌هایی از افراد مشغول بازی‌های سنتی ,Normal
رانندگی با سرعت غیرمجاز در شهر,خیابان های شهر,یک راننده در حال رانندگی پرسرعت در شهر,Normal
توهین به سنت‌های ایرانی و آداب نوروز,هر مکانی,فردی که سنت‌های نوروزی را مسخره می‌کند یا به آن توهین می‌نماید,Taboo
آموزش آداب معاشرت به کودکان و نوجوانان,مدرسه,معلمان در حال آموزش رفتارهای مودبانه و احترام گذاشتن به دانش آموزان,Expected
پرهیز از استفاده بیش از حد از گوشی در محیط کار,اداره دولتی,کارمندان در حال انجام وظایف اداری,Normal
پوشش نامناسب در برخی محیط‌ها,پارک,زنان و دختران جوان با پوشش نامتعارف در پارک,Expected
احترام به حریم خصوصی دیگران,منزل,اعضای خانواده در خانه,Expected
رعایت فرهنگ ترافیکی,خیابان شهر,رانندگان و عابران پیاده در حال تردد,Expected
مصرف مشروبات الکلی در پارتی خصوصی,خانه,گروهی از جوانان در حال مصرف مشروبات الکلی در یک پارتی خصوصی در خانه,Taboo
پرهیز از دخالت در مراسم و آیین های بومی,مراسم محلی,شرکت در مراسم محلی و قومی به عنوان ناظر,Expected
گذاشتن سکه زیر سفره هفت سین,خانه,فردی که برای آوردن برکت، سکه زیر سفره هفت سین می‌گذارد,Expected
خرید ماهی قرمز برای تزیین سفره هفت سین,اماکن عمومی,افرادی که ماهی قرمز برای تزیین سفره هفت سین می‌خرند,Expected
ازدواج های موقت و صیغه,دفتر ازدواج موقت,افراد در حال ثبت ازدواج موقت در دفتر مربوطه,Normal
احترام گذاشتن به علما و روحانیون,مساجد و اماکن مذهبی,یک فرد عادی در برابر یک روحانی,Expected
تواضع و فروتنی,زندگی روزمره,افراد با تواضع و فروتنی رفتار می کنند,Normal
زیر لب قرائت دعا در اوقات فراغت,پارک,یک زن میانسال در حال قدم زدن در پارک,Normal
درخواست کمک مالی,خیابان شهر,یک گدا در حال درخواست کمک مالی از عابران پیاده,Normal
احترام به حقوق مالکیت معنوی,فضای مجازی,یک کاربر در حال دانلود فایل از یک سایت,Normal
همدردی با آسیب دیدگان در حوادث طبیعی,فاجعه طبیعی,کمک به آسیب دیدگان در زلزله یا سیل,Expected
رفتار متین و باوقار,مراسم ختم,حضار در مراسم ختم، گریه سر و آرام هستند,Expected
نشان دادن ادب در برابر میزبان,مهمانی خانوادگی,یک مهمان در حال تشکر از میزبان و تعریف از غذا,Expected
نشان دادن ادب در برابر میزبان,مهمانی خانوادگی,یک مهمان در حال تشکر از میزبان و تعریف از غذا,Expected
دست انداختن افراد ناشناس,خیابان شهر,یک مرد در حال لمس کردن بدن افراد عابر در خیابان,Taboo
رعایت نوبت در سوار شدن به اتوبوس,اتوبوس,مردم در صف ایستاده برای سوار شدن به اتوبوس,Expected
رفتار مودبانه و احترام آمیز با همسفران,اتوبوس,سوار شدن به اتوبوس شهری و طی مسیر,Expected
رعایت نظافت و پاکیزگی,پارک,افراد در حال جمع آوری زباله و حفظ پاکیزگی فضای سبز,Expected
اظهار نظر صریح درباره سیاست و مسائل جاری,جلسه اداری,جلسه مدیریت در محل کار,Normal
هم نوایی,سیزده بدر,حضور در طبیعت و اجرای آوازهای محلی,Expected
انتقاد سازنده بدون جسارت و بی احترامی,جلسه اداری,حضور در جلسات کاری سازمانی,Expected
کلاهبرداری و فریب دیگران,بازار سنتی,توسط دست فروشان و فروشندگان در یک بازار سنتی,Taboo
حفظ وقار و متانت در رفتار و گفتار,اداره دولتی,ارباب رجوع در حال مراجعه به یک اداره دولتی,Expected
آلوده کردن محیط,بازار سنتی,یک مغازه دار در حال ریختن زباله در کوچه پشت مغازه,Taboo
مهریه سنگین برای عروس‌ها در قراردادهای ازدواج,جشن عزاداری,تعیین مهریه‌های بالا در عقدنامه‌ها,Normal
رعایت شئون اسلامی در اداره دولتی,اداره دولتی,کارمندان در حال رعایت شئونات اسلامی در محیط اداره دولتی,Expected
جدایی جنسیتی در استخرها و سالن های ورزشی,باشگاه ورزشی,ورزشکاران زن و مرد در محیط باشگاه,Expected
معرفی جاذبه های گردشگری به مسافران و گردشگران,گردشگری,راهنمایی مسافران در اماکن دیدنی شهر,Normal
خرید از دست فروشان محلی,روستا,در یک روستا و از اهالی بومی آن منطقه,Normal
اجتناب از آزار و اذیت دیگران,مرکز تجاری مدرن,در یک مرکز خرید مدرن و شلوغ,Taboo
بی حجابی کامل در اماکن عمومی,خیابان شهر,یک زن در حال راه رفتن بدون حجاب در خیابان,Taboo
اهمیت به پژوهش و تحقیق,دانشگاه‌,پژوهشگران به جستجوی علم و دانش می‌پردازند,Normal
استفاده از ظروف سنتی در جشن گلابگیری,خانه روستایی,میزبان در حال پذیرایی از مهمانان با ظروف سفالی و مسی,Expected
برقراری ارتباط و ابراز احساسات پیرامردان,روستا,پیرمردان روستایی معمولاً ابراز احساسات گرم با دیگران دارند,Normal
کمک به نابینایان یا معلولان در پیاده شدن از اتوبوس,ایستگاه اتوبوس,رانندگان و مسافران در حال کمک به افراد نابینا یا معلول برای پیاده شدن از اتوبوس,Expected
آتش بازی کوچک در چهارشنبه سوری,پارک,گروهی از دوستان در حال پرتاب آتش بازی کوچک,Normal
رفتار محترمانه با سالمندان و بزرگتر ها,خانواده,دورهمی و دیدار با اعضای خانواده,Expected
عدم پرداخت عوارض شهری و هزینه های خدماتی,اداره دولتی,شهروندان از پرداخت هزینه های خدمات شهری امتناع می کنند,Taboo
تبلیغ و گسترش فرهنگ شادی و نشاط در سطح جامعه,رسانه ملی,پخش برنامه های شاد و مفرح در رسانه ملی,Expected
تجمعات شبانه در اماکن عمومی,پارک,گروهی از جوانان در پارک شب هنگام,Normal
نشان دادن رفتارهای جنسی در انظار عام,سینما,یک زوج در حال انجام رفتارهای نامناسب جنسی در سینما,Taboo
رفتار نامناسب در ورزشگاه,ورزشگاه,گروهی از هواداران در حال رفتار نامناسب و پرتاب اشیاء در ورزشگاه,Normal
رعایت آداب معاشرت مناسب بین زن و مرد نامحرم,محیط های کاری و عمومی,یک زن و مرد در حال گفتگو,Expected
حفاظت از آثار تاریخی در برابر آسیب و تخریب,میراث جهانی,بازدید از آثار ثبت شده در میراث جهانی یونسکو,Expected
آزار و اذیت معلمان در مدرسه,مدرسه,یک دانش آموز در حال آزار و اذیت معلمان در محیط مدرسه,Taboo
رعایت نوبت در صف,فرودگاه,گروهی از مسافران در حال ایستادن در صف برای چک این,Expected
اظهار ناراحتی و گلایه در حد متعارف,محل کار,به همکاران و مدیران در محیط کار,Normal
صبر و شکیبایی,صف,مردم در صف با حوصله منتظر می مانند,Normal
موسیقی و آواز محدود در مهمانی‌ها,جشن عروسی,موسیقی و آواز تنها در بخش‌هایی از مراسم پخش می‌شود,Normal
رعایت الگوی مصرف بهینه و پرهیز از اسراف,خانه,مدیریت منابع و استفاده بهینه در محیط خانه,Normal
آموزش علوم غیر دینی در مدارس,مدرسه,یک معلم در حال تدریس علوم تجربی در کلاس درس,Normal
انتظار پذیرایی صمیمانه از مهمانان,مهمانی خانوادگی,برای میزبان خانواده در مهمانی‌های خانوادگی,Expected
احترام به کادر درمانی,درمانگاه,بیماران در حال مراجعه به درمانگاه,Expected
خارج کردن زباله از محل مناسب,پارک,گروهی از گردشگران زباله را در محیط رها کرده اند,Taboo
عدم احترام به نوبت در صف,بانک,افراد در حال عدم رعایت نوبت در صف بانک,Taboo
پاکیزگی و نظافت در معابر عمومی,پارک,شهروندان در حال جمع آوری زباله و حفظ پاکیزگی پارک,Expected
تبریک گفتن تولد,جشن تولد,مهمانان در حال خواندن شعر تولدت مبارک,Expected
خودداری از ریخت و پاش,مراکز خرید,خریداران از خرید های غیرضروری پرهیز می کنند,Normal
توجه به نیازهای ویژه افراد سالمند و معلول,اتوبوس,مسافران معلول یا سالمند در اتوبوس,Expected
معرفی گیاهان دارویی و سنتی به گردشگران سلامت,گردشگری سلامت,گردشگری درمانی گیاهان دارویی و طب سنتی,Normal
اطاعت از قوانین آپارتمان,آپارتمان,ساکنین در حال رعایت مقررات و پرداخت به موقع هزینه ها,Expected
پرهیز از رفتار های پرسر و صدا در اماکن عمومی,سینما,تماشاگران در حال تماشای یک فیلم,Expected
رد کردن تعارف در ابتدا و پذیرش آن پس از اصرار,نوروز,میهمان در حال رد یا قبول تعارف,Normal
معرفی سنت های باستانی در فضای مجازی,جشن های باستانی,یک صفحه آنلاین در حال معرفی آداب و رسوم جشن های باستانی ایرانی,Expected
ارزشگذاری به آموزش و پرورش,مدارس و آموزشگاه ها,خانواده ها به تحصیل فرزندان اهمیت می دهند,Expected
صلوات فرستادن برای ارواح مطهر شهدا,مراسم عزاداری,حضور در هیئت عزاداری شهدا,Expected
نشستن نامتعارف در انظار عمومی,پارک,یک مرد در وضعیت دراز کشیده در پارک,Taboo
حفظ محیط زیست و پاکیزگی طبیعت,کوهستان,کوهنوردان در حال صعود در یک منطقه کوهستانی,Expected
خرید از دست‌فروشان در مرکز خرید,مرکز خرید,مشتریان در حال خرید از دست‌فروشان دوره‌گرد در مرکز خرید,Normal
حنابندان,عروسی,نقش حنا بر دست عروس,Expected
سوءاستفاده از اینترنت در محیط آموزشی,مدرسه,دانش آموزان در حال استفاده نامناسب از اینترنت در محیط مدرسه,Taboo
رعایت حجاب کامل در مساجد,مسجد,زنان با پوشش چادر و حجاب کامل در حال زیارت و نمازخواندن در مسجد,Expected
حُسن خُلق و گذشت,محله,همسایگان با خوشرویی با هم رفتار می کنند,Normal
مصرف مواد مخدر در اماکن عمومی,پارک ملی,توسط گروهی از جوانان در یک پارک ملی,Taboo
آموزش مهارت های دیجیتالی در فضای مجازی,فضای مجازی,یک آموزشگاه در حال برگزاری دوره های آنلاین آموزشی,Expected
پرسه زدن,پارک,گروهی از افراد در حال قدم زدن در پارک,Expected
حفظ آرامش در بیمارستان,بیمارستان,بیماران و همراهان در حال رعایت آرامش و سکوت در بیمارستان,Expected
آواز خواندن زنان,مسجد,آواز خواندن زنان در مسجد,Taboo
دوری از توهین و ناسزاگویی در فضای مجازی,فضای مجازی,کاربران در فضای مجازی,Expected
انتظار می رود که همسران خانه دار باشند و از شوهران حمایت کنند,منزل,یک زوج در خانه در حال انجام کارهای روزمره,Expected
آزار جنسی کارمندان در محل کار,محل کار,یک مدیر در حال آزار جنسی یک کارمند زن در محیط کار,Taboo
خودداری از بیان نظرات توهین آمیز علیه اقوام و ادیان,فضای مجازی,فعالان فضای مجازی در حال بیان نظرات خود,Taboo
دعا کردن در حرم امام رضا,حرم امام رضا,زائران مشغول دعا و راز و نیاز با خدا در حرم هستند,Expected
غذا خوردن در اماکن عمومی مجاز,پارک ملی,در یک منطقه طبیعی و پارک ملی,Normal
قدرشناسی نعمت های الهی,ضیافت افطار,روزه داران شکرگزار نعمت روزی الهی هستند,Expected
ارائه تسهیلات ویژه برای سالمندان,اداره دولتی,سالمندان در حال انجام امور اداری,Expected
گریستن به یاد شهدا,مراسم عزاداری,یک مرد میانسال در حال گریستن در مراسم روضه خوانی,Expected
مصرف مواد مخدر در هتل,هتل,یک گروه در حال مصرف مواد مخدر در اتاق هتل,Taboo
همیاری و همکاری در فعالیت های گروهی,مدرسه,انجام پروژه گروهی دانش آموزان,Expected
حفظ محرمیت در فضای مجازی,فضای مجازی,کاربران در حال پرهیز از انتشار اطلاعات خصوصی در شبکه‌های اجتماعی,Expected
پایکوبی و رقص اطراف آتش سده,محل برگزاری جشن,جوانان در حال پایکوبی و رقصیدن,Normal
استفاده از موسیقی شاد در ماه محرم,خیابان شهر,گروهی از جوانان,Taboo
رعایت حجاب اسلامی,فضای مجازی,زنی در حال انتشار تصاویر در شبکه های اجتماعی,Normal
استفاده از رفتار و گفتار محترمانه,بانک,مشتری در حال مراجعه به بانک,Expected
استفاده از لحن و کلمات محترمانه در محیط کار,اداره دولتی,کارمندان با زبان نرم و احترام آمیز با یکدیگر صحبت می کنند,Expected
دادن صندلی خود به افراد سالمند یا معلول,مترو/اتوبوس,یک فرد جوان در حال سوار شدن به مترو یا اتوبوس,Expected
پایبندی به اخلاق و معیارهای اخلاقی-اجتماعی,محل کار,کارمندان در حال پایبندی به معیارهای اخلاقی در محیط کار,Expected
استعمال دخانیات در جمع خانوادگی,خانواده,دورهمی اعضای خانواده در منزل,Taboo
حفظ سکوت و آرامش,کتابخانه,یک دانشجو در حال مطالعه در کتابخانه دانشگاه,Expected
رعایت نوبت در صف خرید بلیط,سینما,مردم در صف خرید بلیط سینما,Expected
صیانت از حقوق متقابل شهروندی,آپارتمان,ساکنین آپارتمان,Expected
تصنیف خوانی در مراسم سوگواری,مراسم عزاداری,گروهی از زنان در مراسم عزاداری,Expected
برپایی آیین های باستانی,شب یلدا,خانواده در حال برگزاری جشن شب یلدا,Normal
پرهیز از رفتارهای غیراخلاقی در محیط کار,شرکت,کارمندان در محیط کار,Expected
اهانت و هتک حرمت به مقدسات ملی,دانشگاه,یک دانشجو در حال توهین به نمادهای ملی ایران در دانشگاه,Taboo
نوشتن پیام‌های تبریک سال نو,فضای مجازی,فردی که برای آشنایان خود پیام تبریک سال نو می‌فرستد,Expected
اصالت دادن به خانواده و پیوندهای خانوادگی,مهمانی خانوادگی,برای اعضای خانواده در مجالس خانوادگی,Expected
مهمان‌نوازی و میهمان‌پذیری,محیط خانواده,میزبان با احترام از مهمانان پذیرایی می‌کند,Expected
اطاعت از قوانین و مقررات آموزشی,مدرسه,در یک محیط آموزشی مدرسه,Normal
مبادله کارت ویزیت در ملاقات های کاری,محیط های اداری و تجاری,دو همکار یا شریک تجاری در حال آشنایی,Normal
استفاده از تلفن همراه در محیط آموزشی,دانشگاه,دانشجو در کلاس درس دانشگاه,Normal
عدم استفاده از سرویس‌های عمومی گران‌قیمت,هتل,گردشگران در حال اقامت در هتل‌های ارزان‌قیمت,Normal
ختنه سوران,آذربایجان,مراسم ویژه برای پسران نوجوان,Expected
خواندن شعر برای تبریک سال نو,خانه,فردی که برای دیگران شعر نوروزی می‌خواند,Normal
تحقیر و توهین به پیروان ادیان دیگر,دانشگاه,یک دانشجو در حال توهین به پیروان ادیان غیرمسلمان,Taboo
اجازه ازدواج دختران با والدین ,عروسی,یک زوج جوان در حال برنامه ریزی برای مراسم ازدواج خود,Expected
توزیع بسته های غذایی در میان نیازمندان,محله فقیرنشین,گروهی خیریه در حال توزیع بسته های غذایی,Expected
رعایت سکوت در اماکن عمومی,مترو,افرادی در حال سفر با مترو,Normal
رانندگی پرخطر و بی‌احتیاط,خیابان شهر,رانندگان در حال رانندگی پرخطر و بی‌توجه به قوانین,Normal
توجه به بهداشت فردی در اماکن عمومی,رستوران,مشتریان در حال صرف غذا در رستوران,Normal
خرید اجناس تقلبی و قاچاق,بازار سنتی,گروهی در حال معامله کالاهای قاچاق یا تقلبی در گوشه بازار,Normal
حمایت از تولیدات داخلی,مرکز خرید,یک خانواده در حال خرید کالاهای تولید داخل در یک مرکز خرید,Normal
تظاهرات علنی علیه ارزش های اسلامی,خیابان شهر,در خیابان های شهر و اماکن عمومی,Taboo
صرف سحری پر انرژی,مراسم سحر,جشن برپایی مراسم سحری و نیمه شب,Expected
بازسازی و اجرای آیین های باستانی,جشن نوروزی,برگزاری جشن های باستانی مانند جشن نوروز,Normal
شوخی کردن با موضوعات مقدس,مراسم عزاداری,گروهی از جوانان در حال خندیدن و ریشخند به مراسم عزاداری,Taboo
پرهیز از بی احترامی به نمادهای ملی,مراسم ملی,مقامات و مردم در حال شرکت در مراسم ملی,Expected
حضور زنان در رشته های علوم انسانی و مدیریت دانشگاه ها,دانشگاه,استادان و مدیران زن در رشته های علوم انسانی دانشگاه,Normal
دریافت حق‌الزحمه پزشکان به صورت نقدی,درمانگاه,بیماران در حال پرداخت نقدی برای ویزیت پزشک,Expected
پرهیز از گناهان کوچک مانند دروغ گفتن در ماه رمضان,مدرسه,یک دانش آموز در حال گفتن حقیقت به معلم در مدرسه در ماه رمضان,Expected
ترویج فرهنگ ایثار و از‌خودگذشتگی,دانشگاه,دانشجویان در حال فعالیت‌های خیرخواهانه و ایثارگرانه,Expected
تبعیض نژادی و قومی در محیط های مختلف,محل کار,برخورد متفاوت کارفرما با کارگران از اقلیت های قومی,Taboo
رعایت ادب در گفتار,خانواده,فرزند در حال صحبت با والدین,Expected
گرامی داشتن بزرگترها,خانواده,یک جمع خانوادگی با حضور اقوام مختلف,Expected
ممکن است خشونت علیه زنان توجیه شود اگر آنها از قوانین اخلاقی تخطی کنند,اداره دولتی,یک قاضی در حال رسیدگی به یک پرونده خشونت خانگی,Expected
رعایت سکوت در کتابخانه,کتابخانه,دانشجویان در حال مطالعه در کتابخانه,Expected
استفاده بهینه از منابع طبیعی محدود,کویر,گردشگران در حال پرهیز از آلودگی محیط و حفاظت از منابع آب و خاک,Expected
نپوشیدن روسری در مکان‌های مذهبی,حرم,یک زن در حرم امام رضا(ع),Taboo
برپایی ایستگاه های صلواتی,پارک,چند نفر در حال اهدای شربت و نذری به عابران,Normal
خرید از فروشندگان خرده پا در مرکز خرید,مرکز خرید,مشتریان در حال خرید از فروشندگان خرده پا در مرکز خرید,Normal
جلوگیری از اسراف در مصرف,منزل,اعضای خانواده در مصرف برق و آب صرفه جویی می کنند,Normal
پرسش از اوضاع کسب و کار آشنایان,چادرنشینی,دیدار با اقوام چادرنشین در سفر,Normal
رد کردن دعوت‌های غیررسمی و ناگهانی,رستوران,توسط میزبان برای صرف غذا در یک رستوران,Normal
قالی بافی,روستاها,زنان روستایی در حال بافتن قالی و گلیم,Expected
عدم پوشیدن لباس های بدن نما در اماکن عمومی,پارک,افراد در حال گذران اوقات فراغت در پارک,Expected
شوخی‌های جنسی رکیک,مهمانی خانوادگی,فردی در حال گفتن شوخی‌های سبک و رکیک در محفل خانوادگی,Taboo
اجتناب از مصرف مواد مخدر و الکل,باشگاه ورزشی,در یک باشگاه ورزشی,Expected
حضور در شب نشینی های مختلط,مهمانی,گروهی از دوستان در یک مهمانی خصوصی,Normal
توجه به آموزش فرزندان,خانواده,والدین به پرورش و آموزش فرزندان اهتمام می‌ورزند,Expected
اقدام به سرقت یا زورگیری در معابر عمومی,خیابان شهر,فردی با زور اموال دیگری را در خیابان سرقت می کند,Taboo
برخورد سلیقه ای و تبعیض آمیز با اقلیت های قومی,اداره دولتی,کارمندان دولت در حال برخورد تبعیض آمیز با اقوام مختلف,Taboo
برپایی نمازهای جماعت در مساجد در ماه رمضان,مسجد,گروهی از مردان و زنان در حال اقامه نماز جماعت در مسجد در ماه رمضان,Expected
نشان ندادن احترام به نمادهای ملی,مراسم رسمی,شخصی که در مراسم رسمی به پرچم ملی احترام نمی گذارد,Taboo
استفاده از لباس های سنتی,جشن عشایر قشقایی,زنان و مردان قشقایی با پوشش سنتی,Expected
ابراز علاقه به همکار جنس مخالف,جلسه اداری,محیط کاری و جلسات سازمانی,Taboo
آزار و اذیت همکلاسی‌ها در مدرسه,مدرسه,یک دانش آموز در حال آزار و اذیت دیگر دانش آموزان در محیط مدرسه,Taboo
جداسازی جنسیتی در اماکن عمومی,مترو/اتوبوس,برای زنان و مردان در وسایل حمل و نقل عمومی,Expected
کمک رسانی و همیاری به همنوعان,بازار سنتی,یک فروشنده در حال کمک به یک مشتری جهت حمل بارهایش,Expected
عدم حفظ حریم خصوصی دیگران,ساحل دریا,یک زوج در حال گرفتن عکس از خانواده دیگری بدون اجازه,Taboo
پاکدامنی و پاکدینی,محل کار,کارمندان از رفتارهای نامتعارف پرهیز می کنند,Normal
خیمه شب بازی,تهران قدیم,اجرای نمایش خیابانی در شب عید,Normal
خوردن غذا در حمل و نقل عمومی,مترو,یک فرد در حال خوردن ساندویچ در مترو,Normal
رعایت عفت و حجاب در محیط های عمومی,دانشگاه,دانشجویان در محوطه دانشگاه,Expected
امتناع از خدمت سربازی اجباری,پادگان نظامی,جوانان در حال امتناع از گذراندن خدمت سربازی اجباری,Taboo
آموختن فنون جدید,آموزشگاه,هنرجویان مشتاق,Normal
پرهیز از فساد و رشوه,محیط های اداری و اقتصادی,کارکنان و مسئولان از فساد و رشوه خودداری می کنند,Normal
برخورد خشن با کودکان برای تنبیه,خانه,یک پدر در حال کتک زدن کودکش برای تنبیه,Taboo
رعایت حقوق معنوی هنرمندان,نمایشگاه هنری,بازدیدکنندگان در حال تماشا و قدردانی از آثار هنری,Expected
نمایش آداب معاشرت در فضای مجازی,فضای مجازی,گروه دوستان در شبکه های اجتماعی,Expected
حفظ محیط زیست,جامعه,شهروندان از آلودگی محیط زیست پرهیز می‌کنند,Normal
ورزش کردن زنان در اماکن عمومی,پارک,گروهی از زنان در حال ورزش در پارک,Normal
سکوت در هنگام خواندن ادعیه در مراسم,مراسم تحلیف,افراد حاضر در مراسم تحلیف رئیس جمهور,Expected
التزام به حقوق متهم,دادگاه,قاضی با بی طرفی به متهم رسیدگی می کند,Expected
لباس های کوتاه و باز پوشیدن,پارک,یک زن جوان در حال راه رفتن با لباس کوتاه در پارک,Taboo
قاچاق مشروبات الکلی,مرز,قاچاقچیان در حال قاچاق مشروبات الکلی از مرزهای کشور,Expected
رعایت آداب معاشرت در دید و بازدیدها,دید و بازدید,میزبان و میهمان در یک دید و بازدید,Expected
پوشش غیرمتعارف و آزادانه زنان در اماکن عمومی,خیابان شهر,زنان در حال پوشیدن لباس های بدن نما در خیابان,Taboo
گرامیداشت سنت های ملی و آیینی,جشن نوروز,استقبال از سال نو و عید نوروز,Expected
تشکر از تعارف چه در صورت پذیرش یا رد,ضیافت افطار,میهمان در حال تشکر از تعارف میزبان,Expected
جدایی محل نشستن زنان و مردان,سینما,در سالن‌های سینما برای خانواده‌ها و افراد مجرد,Normal
اهمیت به سنت چایخوری و پذیرایی,کافه سنتی,مشتریان در حال صرف چای در یک کافه سنتی,Expected
احترام گذاشتن به سالمندان و کهنسالان,خیابان شهر,یک فرد جوان در حال کمک به یک سالمند برای عبور از خیابان,Expected
گرد هم آمدن خانوادگی,سیزده بدر,خانواده در پارک برای گردش سیزده بدر,Expected
پذیرش شرکت در مراسم سوگواری توسط غریبه‌ها,مراسم عزاداری,غریبه‌ها نیز بدون دعوت در مراسم سوگواری شرکت می‌کنند,Normal
انتقاد از سنت های مذهبی در فضای مجازی,محرم,فردی در حال انتقاد از مراسم عزاداری محرم در شبکه های اجتماعی,Taboo
آماده کردن سفره افطاری سنتی با غذاهای محلی,خانه,یک زن در حال چیدن سفره افطاری با انواع غذاهای سنتی و محلی,Expected
نگاه های مستهجن و آزاردهنده به اشخاص,دانشگاه,توسط دانشجویان به یکدیگر در محیط دانشگاه,Taboo
پرهیز از استعمال دخانیات در اماکن عمومی,پارک,گروهی از افراد در حال استراحت در پارک,Normal
برگزاری جشن آغاز سال تحصیلی,دانشگاه,برگزاری جشن آغاز ترم برای دانشجویان,Normal
خدمت به مردم و نوع‌دوستی,جامعه,افراد به کمک به مردم در مواقع لازم اهتمام می‌ورزند,Expected
ریختن زباله در معابر عمومی,خیابان شهر,عابران در حال ریختن زباله در خیابان,Taboo
رعایت تشریفات و آداب در مراسم تحلیف,مراسم تحلیف,یک مقام در حال ادای سوگند در مراسم تحلیف,Expected
حضور در مکان ها و مراسم مذهبی با لباس های نامناسب,حرم,بازدید از حرم امام رضا(ع),Taboo
رعایت شئونات اسلامی,جلسه اداری,حجاب و پوشش مناسب کارکنان,Expected
پوشیدن لباس متناسب با شرایط آب و هوایی,خانواده,اعضای خانواده در حال آماده شدن برای بیرون رفتن,Normal
پرهیز از مصرف مواد مخدر و مشروبات الکلی,چادرنشینی,جوانان عشایر در اردوگاه چادرنشینی,Expected
دادن انعام به خدمه رستوران,رستوران,پس از صرف غذا در رستوران گران‌قیمت,Normal
عدم وجود نمایندگان زن در مجلس و قوای حکومتی,مجلس شورای اسلامی,فقدان نمایندگان زن در ترکیب مجلس,Normal
حمایت از هنرهای سنتی و صنایع دستی,بازار,خرید از مغازه های سنتی و صنایع دستی,Expected
